ts,host,load1,mem_total_mb,mem_avail_mb,swap_used_mb,idle,us,sy,si,so
22:06:24,yggdrasil,8.21,31935,6163,4385,0,0,2,0,0
22:06:26,vm105,0.88,7850,5225,0,1,1,2,0,0
22:06:34,vm102,ERR,,,,,,,,
22:07:03,yggdrasil,8.34,31935,6020,4385,3,0,0,0,0
22:07:05,vm105,0.70,7850,5210,0,1,0,0,0,0
22:07:13,vm102,ERR,,,,,,,,
22:07:42,yggdrasil,7.80,31935,6142,4388,0,0,0,0,0
22:07:44,vm105,0.59,7850,5218,0,1,0,1,0,0
22:07:52,vm102,ERR,,,,,,,,
22:08:21,yggdrasil,8.06,31935,6173,4389,1,0,0,0,0
22:08:22,vm105,0.30,7850,5218,0,0,2,2,0,0
22:08:30,vm102,ERR,,,,,,,,
22:09:00,yggdrasil,8.21,31935,6014,4390,0,0,0,0,0
22:09:01,vm105,0.17,7850,5207,0,0,1,0,0,0
22:09:09,vm102,ERR,,,,,,,,
22:09:39,yggdrasil,8.25,31935,6179,4391,0,0,0,0,0
22:09:40,vm105,0.08,7850,5216,0,0,1,1,0,0
22:09:48,vm102,ERR,,,,,,,,
22:10:17,yggdrasil,8.33,31935,6151,4392,0,0,0,0,0
22:10:19,vm105,0.04,7850,5202,0,0,0,0,0,0
22:10:27,vm102,ERR,,,,,,,,
22:10:56,yggdrasil,8.34,31935,6206,4394,0,0,0,0,0
22:10:58,vm105,0.02,7850,5218,0,0,0,0,0,0
22:11:06,vm102,ERR,,,,,,,,
22:11:35,yggdrasil,8.31,31935,6087,4394,3,1,1,1036,0
22:11:37,vm105,0.01,7850,5206,0,0,1,1,0,0
22:11:45,vm102,ERR,,,,,,,,
22:12:14,yggdrasil,8.57,31935,6158,4396,0,0,0,0,0
22:12:16,vm105,0.11,7850,5206,0,3,6,0,0,0
22:12:24,vm102,ERR,,,,,,,,
22:12:53,yggdrasil,8.19,31935,6150,4396,0,0,0,0,0
22:12:54,vm105,0.21,7850,5219,0,0,1,1,0,0
22:13:03,vm102,ERR,,,,,,,,
22:13:32,yggdrasil,8.10,31935,6090,4396,1,0,1,0,0
22:13:33,vm105,0.11,7850,5210,0,0,1,0,0,0
22:13:41,vm102,ERR,,,,,,,,
22:14:11,yggdrasil,8.16,31935,6170,4396,0,0,0,0,0
22:14:12,vm105,0.13,7850,5213,0,1,2,3,0,0
22:14:20,vm102,ERR,,,,,,,,
22:14:50,yggdrasil,8.33,31935,6350,4396,0,0,0,0,0
22:14:51,vm105,0.20,7850,5225,0,0,0,0,0,0
22:14:59,vm102,ERR,,,,,,,,
22:15:28,yggdrasil,8.48,31935,6275,4396,6,6,1,0,0
22:15:30,vm105,0.10,7850,5207,0,1,0,0,0,0
22:15:38,vm102,ERR,,,,,,,,
22:16:07,yggdrasil,8.59,31935,6315,4399,0,0,0,0,0
22:16:09,vm105,0.13,7850,5218,0,0,0,0,0,0
22:16:17,vm102,ERR,,,,,,,,
22:16:46,yggdrasil,8.48,31935,6310,4399,1,1,1,4,0
22:16:48,vm105,0.20,7850,5211,0,0,0,0,0,0
22:16:56,vm102,ERR,,,,,,,,
22:17:25,yggdrasil,8.39,31935,6341,4400,1,1,1,12,0
22:17:26,vm105,0.11,7850,5208,0,0,0,0,0,0
22:17:34,vm102,ERR,,,,,,,,
22:18:04,yggdrasil,8.61,31935,6316,4400,1,0,0,12,1320
22:18:05,vm105,0.06,7850,5202,0,3,1,0,0,0
22:18:13,vm102,ERR,,,,,,,,
22:18:43,yggdrasil,8.93,31935,6310,4402,0,0,0,0,0
22:18:44,vm105,0.03,7850,5209,0,0,6,3,0,0
22:18:52,vm102,ERR,,,,,,,,
22:19:21,yggdrasil,8.62,31935,6359,4402,0,0,0,0,0
22:19:23,vm105,0.01,7850,5227,0,0,1,2,0,0
22:19:31,vm102,ERR,,,,,,,,
22:20:00,yggdrasil,8.53,31935,6287,4403,0,0,0,0,0
22:20:02,vm105,0.06,7850,5212,0,0,1,0,0,0
